comment,toxic
"а сколько ж эпоксидка будет стоить, как писали выше - нужна хорошего качества.
",0.0
"Колян никак не созреет, а созреет, так мамка заругает
",1.0
"Состояние, когда не знаешь, чем заняться, плавно превращается в скуку и тоску И у тебя радикулит.
",1.0
"Это где такая пенсия? Я в шоке просто... У бабушки с дедушкой недавно интересовался, 22 и 24 соответственно. Она учителем всю жизнь работала, дед от водителя до начальника гаража.
",0.0
"За 65 миллионов лет приспособились бы
",0.0
"Вот когда научатся, вот тогда и хай живут)
",0.0
"Международный день пофигизма
",0.0
"Нормальная АР обойдется в 100 000. И обвес с комплектом магазинов ну максимум в 30000-50000.
",0.0
"А мы таскали из дома. Как сейчас помню: я маленького ростика, третий класс наверное и сегодня урок физры. Тащу огромный рюкзак, сменку и ботинки лыжные ,и лыжи с палками. Периодически падаю, руки уже болят от неудобной ноши, слезы стоят в глазах.
",0.0
"Не знаю, как сейчас в календаре прививок, ибо дочери уже 19 лет, но раньше последнюю АКДС делали в 6 лет.
",0.0
"Оставшимся процентом видимо
",0.0
"У нас дома был такой когда-то, от ручки током дёргало, но денег на другой холодильник не было. Зато я научился опасаться электричества безо всяких гвоздей в розетках.
",0.0
"Честно говоря базовые потребности полностью покрывает Yota, исключая торрент и игры.
",0.0
"Вожака? Ясненько... Теория доминирования не работает между видами. Я например не считаю драки нормой, выяснять отношения собаки могут и без драк так то, сигналы примирения и все такое. И да, драться я не даю своим не только потому что выставочные и все такое, но и потому что в семье не должно быть насилия.
",0.0
"Ну так и я на диете. Просто не сразу. Сначала преодолеть сахарную ломку , потом уже снижать калории. Мне 31, если что. Минус 3 кило в месяц без экстремальных диет.
",0.0
"Когда выйграл джекпот но посыпались не деньги а снег ..
",0.0
"У меня карта примерно 4х4.5км у тебя примерно 3х3.5км примерно сопоставимо по плотности. 3-7 пятёрочек на 1 квадратный км.
",0.0
"Правда. И не только шведы. Некоторые немцы так делают, хотя у них дешевле, чем в Швеции.
",0.0
"Да это понятно, но фильм то как называется?
",0.0
"3 января возможно, на жд например так даты используются
",0.0
"Причем тут нарушать? Камеры надо ставить там, где нарушать опасно для жизни. А не на ровных участках трассы, где нарушать безопасно и многие нарушают - так называемые хлебные места
",0.0
"Что это за ёбань? Моллюски?
",1.0
"Как-то в 15 веке японские пираты доебали испанских торговцев. После чего испанцы в выездном матче 40 конкистадоров 1000 азиатов разных сортов доказали, что побеждает не тот, кто не боится смерти, а тот у кого технологии, тактика и опыт.
",0.0
"Я не успел купить билет, меня начали выгонять сразу же. Купить билет это приложить тройку ещё раз. Речь об этом не шла у водителя, он просил выйти и точка, никаких компромиссов.
",0.0
"Бла бла бла, хватит уже обманывать со своим перестал употреблять - стало лучше . Я курю уже больше 10 лет, завязывал, было дело, на год, а в последнее время употребляю ежедневно и помногу. Разницы нет, совсем. Без травы только скучнее и воспринимать мир не интересно .
",1.0
"Музыка и видеоряд суперские, молодцы. Но в начале резкие рывки камеры при обзоре городских пейзажей очень портят весь ролик.
",0.0
"Ну а клиентов то за что?
",0.0
"Там пирог: керамзитная засыпка - 8 см., гипсо-волокнистая плита - 1,6 см., пористая подкладка под ламинат - 0.4 см. ну и ламинат - сколько он там... Всё вместе очень эффективно шумо- и теплоизолирует
",0.0
"Мои возможности в блендер сводятся до музыкальных клипов Death grips из альбома Government plates
",0.0
"Я всё жду, когда эта херня закончится
",1.0
"Ого, 200 рублей прям дешево.
",0.0
"Очень хотел себе м600, но мечта так и не сбылась
",0.0
"У меня бывает говорение о себе в 3-м лице... А может это шизофрения, кто знает?)
",1.0
"Но ведь Дисней по воскресеньям показывали не в 18-19 часов, а утром. Насколько помню, это было 9-10 утра
",0.0
"Тут есть некоторая несостыковка Простые глазники в поликлинике говорят ой, все это фигня , а врачи хирурги в клиниках говорят ухаживай за зрением и все будет ок за три года у меня вроде всё та же сотка В любом случае, если будет можно сделать ещё раз в случае каких то форс мажоров-сделаю сто процентов В интернетах вроде никто не жалуется, что обратно упало
",0.0
"упоминание Давыдова и Голополосова вызывает баттхерт у пикабушников Так что, все правильно
",1.0
"Выполнение условий это, обычно, тратить с карточки необходимую сумму. Если карточкой пользуешься, то напрягаться не нужно, все само. сбербанк онлайн подключается без проблем Нах он нужен? Хачам на рынке платить, у которых кассы нет? Быстрее наличкой тогда. на карте имя не написано То есть, в интернете ей платить нельзя. Не карта, а прелесть просто.
",0.0
"Бедная собака. С квадратиками на морде тяжело жить.
",1.0
"где ты взял котёнка? xD
",1.0
"У нас 8 трактор 8 серии (JD и Fendt). Джоники у нас прицепы с картофелем таскают
",0.0
"Паскудная ситуация, опыта в таком мало, но по мне любое зло должно встречать противодействие, ребёнок должен чувствовать защиту семьи, вечно не убежишь, рано или поздно придётся переехать на другой глобус, понимаю положение автора но человек должен понимать необходимость адаптироваться с раннего возраста, сам был абсолютно бесконфликтным и слабохарактерным, попал в армию и понял что с таким отношением к жизни окажусь на дне армейской иерархии, адаптировался, уволился сильной личностью смело идущей на конфликт, зачастую этого качества хватает для решения 99 проблем. Не все так могут и я думаю таким поможет только чудо, надеюсь ваш сын не из таких, а вы найдёте в себе силы встречать проблемы в штыки а не пытаться их обойти, ИМХО думаю в других странах всё так же просто имеет другую форму. Тысячу раз видел пример того что проблемы сами находят слабых людей не зависимо от коллектива, возраста и обстоятельств.
",0.0
"Родила во время поломки лифта на 4 года.коляска на 5 этаж хорошо закатывается по ступенькам, могу сказать с уверенностью.нудно,но не тяжело.спускать тяжелее.при спуске надо ручку крепко держать, чтоб коляска без резких движений,по ступенькам вниз скатывалась,чтоб ребенок не проснулся.
",0.0
"бывало и у меня - в 17м году практически каждый день наебенивался в дребадан и белку както словил, и припадками накрывало 6 раз, когда внезапно отруб, потом открываешь глаза - валяешься на полу и нихера не помнишь минут 10. в принципе я тогда и думал отпилиться именно в синем угаре - не мог себе смерть подруги простить, потом рассосалось - понял что проёбываю свои мозги и этим я ничего не сделаю, и просто взял и прекратил, отлежался, занялся работой, позволяя себе только для перезагрузки раз в неделю. потому как ударные дозы несколько дней - да, это жопа потом на бодуне - сердце так и выпрыгивает.
",0.0
"Так они получили условку. И это против существенной суммы денег за данные 500 тысяч абонентов.
",0.0
"Это всё хорошо и красиво. А не может ли суд ошибаться? Случайно, или намеренно?
",0.0
"Ну для этого достаточно спутника, а махина с людьми была бы избыточна
",0.0
"Э нет, не надо тут. Медицина, пособия инвалидам и пр. - это по сути страховка. Т.е. возникновение проблем возможно, но необязательно и от вашей воли не зависит (в теории). Машина - это осознанное решение. Как бы так похоже: Допустим государство решило всем открыть визы во все страны за счет бюджета. Т.О. захотят воспользоваться визами далеко не все и далеко не всеми визами, но платить будут все.
",0.0
"Проблема в так называемом женском равноправии. Если бы для женщины существовала реальная угроза после развода остаться без детей и без средств к существованию, поводов для проведения экспертизы ДНК было бы намного меньше.
",0.0
"ахаха, я сначала варила какие-то толстые куски (поручни какие-то и уголки), и казалось так легко все это...а потом как понеслась....одни прожоги
",0.0
"Вот так с детства всю дурь из башки и выбил.
",1.0
"Она была платная и охраняемая. Только охраняемая кем? Правильно, нашими пенсионерами, ведь у нас других охранников не предусмотрено зарплатой. Они должны делать обход каждый час, а вместо этого сладко проспали всю ночь
",0.0
"Мы зимой в Корею шли на пароме, было стремно, мы на верхнем этаже, вода долетала в наше окно. ночью, мы посмотрели один раз в окно и больше не смотрели...
",0.0
